gene,eigenvector,betweenness,pagerank,out_degree,in_degree,hub_score
C7orf26,2.1075736428444023e-26,0.0,0.0025256840882458467,4,4,0.09432577266725242
KDM2A,1.6793262553363885e-09,0.00011843730436695259,0.005556464924241382,2,7,0.0941829283998129
NFRKB,6.442005795215662e-08,1.776559565504289e-05,0.007051828474708446,1,9,0.09389221426691377
METAP1,4.508694187796751e-06,0.0,0.008514191282148843,0,9,0.09324186843631073
RPAP1,1.659255460290291e-09,0.0,0.008434594148687385,0,7,0.09236837512785184
SNAPC5,2.3153301834519233e-13,6.369026469528981e-05,0.003618897176768575,3,6,0.08963102950346288
BOP1,2.3393223158472196e-13,4.888560164942074e-05,0.004968504880920373,2,9,0.08774409824474669
STAT5A,2.362981041238695e-13,5.924886578152909e-05,0.004905343412578962,2,9,0.08705240851358215
PREB,2.362981041238695e-13,9.897974722095325e-05,0.00487647222471993,2,9,0.08673623625392698
NEPRO,9.179258810370032e-20,1.057475931847791e-05,0.003228495907648069,3,6,0.08535569272011154
ZNF830,6.527498928011626e-08,0.0,0.007591793015494119,0,10,0.08313877222280316
SRSF6,1.7000761117036277e-09,0.0,0.007512636291457245,0,9,0.08227189070275215
POLA2,2.0754643254454832e-11,2.9609326091738153e-05,0.005974184062713613,1,8,0.08209075950856771
MRPS28,1.0612414400341678e-11,3.362773463275976e-05,0.004438274932371753,2,9,0.08193747879883465
COG4,9.015616375603763e-06,0.0,0.007420874519520469,0,9,0.08127062393804137
SNRPG,1.1996977561197208e-15,2.749437422804257e-05,0.00430278462930685,2,8,0.08045370627053103
DDX24,1.1937627598077088e-13,2.855185015989036e-05,0.004287242138510007,2,9,0.08028349836434694
SKA3,1.1817685161326203e-13,1.6315342948508776e-05,0.004254678790041522,2,9,0.07992689275748713
TBCC,2.4099317137024916e-15,0.0,0.007285198365369557,0,5,0.07978118671326052
SART1,1.8422921260242007e-19,0.00016877315872290748,0.004127441716930135,2,7,0.07853350246418385
PALB2,6.525423348158888e-08,0.0,0.007071198948886444,0,7,0.07743767660293012
CHMP1A,1.8357296896695298e-19,0.00010574759318477912,0.003914290557487802,2,7,0.0761992554613222
SARS2,6.441970708756392e-08,0.0,0.006731664235483602,0,8,0.07371938597382456
HDAC3,8.555197011631741e-10,0.0,0.006634306744538189,0,11,0.07265318541278482
DHODH,3.297768139745617e-09,0.0,0.00661998125668258,0,5,0.0724963060525521
HTATSF1,1.8357296896695243e-19,1.2085439221117612e-05,0.0035424289136525423,2,6,0.07212694860700972
COQ5,2.2441298658897497e-17,8.248312268412771e-05,0.00493661937371303,1,7,0.07072824910190553
GMPPB,6.440944674808259e-08,0.0,0.006455869490762739,0,6,0.07069912064271214
UNC45A,2.4210140321724045e-15,0.0,0.0056105506137862984,0,6,0.06144189404786076
POLR1C,1.1996977561197208e-15,2.9609326091738146e-05,0.004065831424313659,1,7,0.061192133200254295
GAK,2.4211044959689596e-15,0.0,0.005425744012369393,0,5,0.05941805211054694
RRP12,2.4211044959689596e-15,0.0,0.0054242921549668265,0,5,0.05940215262494531
MMS22L,8.552810043958476e-10,5.0758844728693974e-05,0.0036164637278633736,1,5,0.05627104748823612
RAB4A,8.657752424015211e-10,0.0,0.005097408845665879,0,8,0.055822409907490704
MTOR,8.554003694059441e-10,0.0,0.005067434049415152,0,9,0.05549415187979356
TAF2,8.553991479060963e-10,0.0,0.004832029868633297,0,8,0.052916209048570466
PSME1,1.0613613732268474e-11,0.0,0.00482500626928098,0,8,0.05283929232773256
CEP85,1.0263926667469302e-11,0.0,0.004700552012283761,0,5,0.05147637702772109
ZMAT5,4.507808011186511e-06,0.0,0.004656189645429067,0,5,0.050992373490324955
CLASRP,2.0293976158960458e-11,0.0,0.004615886946839157,0,6,0.050549198517796275
