gene,eigenvector,betweenness,pagerank,out_degree,in_degree,hub_score,k562_chronos,pan_mean_chronos,selective_score,is_selectively_essential,is_essential
MCM10,1.1267203905245933e-17,3.5349909721769015e-05,0.0030898189498020675,5,5,0.11717035604449483,4.552131108253784,3.5883241209479126,0.9638069873058712,False,False
CD2BP2,1.6692902417031967e-09,8.45980745478233e-05,0.009052114022059783,1,8,0.11579758495055548,4.750070485865693,5.262265143378171,-0.5121946575124783,True,False
PAF1,4.097123161689527e-24,5.202781584691132e-05,0.0028824779915870053,5,5,0.11489973733639011,5.05528243550119,5.553994848554218,-0.4987124130530285,True,False
CPSF4,0.0002904860563086793,0.0,0.010398044187825055,0,11,0.11398732089787825,6.039357765159702,5.23585786588263,0.8034998992770719,False,False
DPH3,1.117607573394856e-17,0.00010997749691217027,0.004303126796731937,4,8,0.11379078672533663,4.1906148602094975,3.644097598354415,0.5465172618550826,False,False
RNF8,4.097123161689527e-24,2.0726528264216707e-05,0.0027756058254692945,5,5,0.11372936587745797,4.356848079236522,4.238601029836506,0.11824704940001585,False,False
MED17,4.381545523791239e-06,0.0,0.0103087562160836,0,6,0.11289433910088476,4.03738222200308,4.190907131611199,-0.1535249096081195,False,False
MED4,1.2217745460856058e-15,5.593544119507269e-05,0.003896101078471382,4,8,0.10933339336457354,4.906409617094015,5.341058290649935,-0.43464867355591963,True,False
MEPCE,9.015626868675312e-06,5.9923636138041497e-05,0.008437741457320146,1,12,0.10907313715125506,5.182295025025483,4.931524078986089,0.25077094603939365,False,False
RBBP5,4.4459642976711125e-06,7.095159942731133e-05,0.0069084232526934386,2,10,0.10899019494818235,4.4535175792154975,3.5003701633510356,0.9531474158644619,False,False
EXOSC1,8.55520911761634e-10,0.00019880547518738473,0.006812802850620161,2,10,0.10794125360064352,6.259649120649155,5.585136324003023,0.6745127966461322,False,False
WDR4,8.657776634155466e-10,5.569373241065034e-05,0.005203825121273086,3,10,0.10698778884815387,5.173527238122508,4.2939496314532235,0.8795776066692849,False,False
DDX19A,8.656595201799894e-10,6.792016842268098e-05,0.006128597522221408,2,9,0.10044842906961451,4.874796965898665,4.917293268740792,-0.04249630284212724,False,False
MED21,6.356454544790299e-08,6.852444038373687e-05,0.007609286376449225,1,9,0.0999970103485034,4.840966704487421,4.830576204121107,0.010390500366313837,False,False
INCENP,6.439918878610481e-08,0.00014321245477024372,0.005975761696205411,2,8,0.098774728968552,4.826802684285827,4.932814459731726,-0.10601177544589913,False,False
RPE,4.0971231616895274e-24,1.438167267312996e-05,0.0028192181975090903,4,5,0.0975403041601987,4.545968369105292,5.4984930129159855,-0.9525246438106931,True,False
SLC1A5,8.657764529999874e-10,9.77107761027359e-05,0.005777831095556662,2,9,0.09660713877460131,8.297466573763211,7.057883288234729,1.2395832855284823,False,False
DYNC1H1,2.234951016791698e-17,0.0001628512935045598,0.004235659762484548,3,6,0.09638527949643254,6.948367231584678,7.3031276869384705,-0.35476045535379264,True,False
GATA1,1.1697706338935383e-13,8.248312268412771e-05,0.005698416650612685,2,7,0.09573746016313983,6.923030298263772,0.15225426353327629,6.7707760347304955,False,False
ZC3H8,8.658934077138723e-10,5.1635039072225e-05,0.0056834745906838595,2,11,0.09557382800460107,4.667892125230234,3.6795438088598,0.9883483163704345,False,False
COG2,1.842332886495768e-19,0.00018357782176877654,0.004135006000472599,3,6,0.09528300661685804,4.260778431893426,3.9938046572448305,0.2669737746485956,False,False
C7orf26,2.1075736428444023e-26,0.0,0.0025256840882458467,4,4,0.09432577266725242,4.535430914871279,4.051385905743293,0.4840450091279864,False,False
KDM2A,1.6793262553363885e-09,0.00011843730436695259,0.005556464924241382,2,7,0.0941829283998129,4.237257770900372,5.07635057931086,-0.8390928084104887,True,False
NFRKB,6.442005795215662e-08,1.776559565504289e-05,0.007051828474708446,1,9,0.09389221426691377,4.423578170981798,3.9028527919885856,0.520725378993212,False,False
METAP1,4.508694187796751e-06,0.0,0.008514191282148843,0,9,0.09324186843631073,5.588864518190148,5.313510861132624,0.2753536570575239,False,False
RPAP1,1.659255460290291e-09,0.0,0.008434594148687385,0,7,0.09236837512785184,4.669026765509631,3.916143462213294,0.7528833032963376,False,False
SNAPC5,2.3153301834519233e-13,6.369026469528981e-05,0.003618897176768575,3,6,0.08963102950346288,5.963242904318827,5.378438118392108,0.5848047859267194,False,False
BOP1,2.3393223158472196e-13,4.888560164942074e-05,0.004968504880920373,2,9,0.08774409824474669,5.655065551195028,5.661623005931395,-0.006557454736366708,False,False
STAT5A,2.362981041238695e-13,5.924886578152909e-05,0.004905343412578962,2,9,0.08705240851358215,6.969472864596329,2.1517591345253013,4.817713730071028,False,False
PREB,2.362981041238695e-13,9.897974722095325e-05,0.00487647222471993,2,9,0.08673623625392698,5.713695814843359,5.347549364901408,0.3661464499419518,False,False
NEPRO,9.179258810370032e-20,1.057475931847791e-05,0.003228495907648069,3,6,0.08535569272011154,4.277984747299765,4.6888698588735815,-0.41088511157381635,True,False
ZNF830,6.527498928011626e-08,0.0,0.007591793015494119,0,10,0.08313877222280316,4.017031080527841,3.7314080165483343,0.2856230639795063,False,False
SRSF6,1.7000761117036277e-09,0.0,0.007512636291457245,0,9,0.08227189070275215,6.120393415592435,6.518895887358114,-0.39850247176567866,True,False
POLA2,2.0754643254454832e-11,2.9609326091738153e-05,0.005974184062713613,1,8,0.08209075950856771,4.921721947009604,4.429746414142639,0.4919755328669648,False,False
MRPS28,1.0612414400341678e-11,3.362773463275976e-05,0.004438274932371753,2,9,0.08193747879883465,5.45450493755737,5.852115373718369,-0.3976104361609982,True,False
COG4,9.015616375603763e-06,0.0,0.007420874519520469,0,9,0.08127062393804137,5.992315251861196,5.284661245173332,0.7076540066878643,False,False
SNRPG,1.1996977561197208e-15,2.749437422804257e-05,0.00430278462930685,2,8,0.08045370627053103,8.442694733878824,8.033714483290854,0.4089802505879696,False,False
DDX24,1.1937627598077088e-13,2.855185015989036e-05,0.004287242138510007,2,9,0.08028349836434694,5.6865005271832185,6.60469735671703,-0.9181968295338114,True,False
SKA3,1.1817685161326203e-13,1.6315342948508776e-05,0.004254678790041522,2,9,0.07992689275748713,4.072963271555224,4.011048947041812,0.06191432451341239,False,False
TBCC,2.4099317137024916e-15,0.0,0.007285198365369557,0,5,0.07978118671326052,4.810443103845175,4.3644978107874675,0.4459452930577079,False,False
SART1,1.8422921260242007e-19,0.00016877315872290748,0.004127441716930135,2,7,0.07853350246418385,4.954196310386875,5.3296991353864325,-0.37550282499955756,True,False
PALB2,6.525423348158888e-08,0.0,0.007071198948886444,0,7,0.07743767660293012,3.411426245726465,3.487957385096524,-0.07653113937005918,False,False
CHMP1A,1.8357296896695298e-19,0.00010574759318477912,0.003914290557487802,2,7,0.0761992554613222,5.3795516533654935,5.854103779443667,-0.47455212607817376,True,False
SARS2,6.441970708756392e-08,0.0,0.006731664235483602,0,8,0.07371938597382456,5.033863451866284,4.51562607495836,0.5182373769079245,False,False
HDAC3,8.555197011631741e-10,0.0,0.006634306744538189,0,11,0.07265318541278482,6.191404728852764,5.788707962623065,0.40269676622969897,False,False
DHODH,3.297768139745617e-09,0.0,0.00661998125668258,0,5,0.0724963060525521,2.73768676140986,3.1214139773689973,-0.38372721595913717,True,False
