gene,k562_chronos,pan_mean_chronos,selective_score
DBF4,5.649902819893139,4.756671022318403,0.8932317975747361
TBXA2R,3.192194165283345,0.6364510395156768,2.555743125767668
IFRD1,6.464668267003445,5.296390762503478,1.168277504499967
LGALS14,0.0565835283663675,0.14408745537861417,-0.08750392701224667
COX10,3.57773093149008,3.520869090955855,0.05686184053422494
GTF2IRD1,4.376429311069923,3.961938165983068,0.4144911450868545
PAF1,5.05528243550119,5.553994848554218,-0.4987124130530285
VPS41,4.9963887464476215,4.6571500773389145,0.33923866910870704
ARHGAP44,0.4436066514756146,1.0631302685400603,-0.6195236170644457
ELAC2,4.666188489872781,5.3216481438869145,-0.655459654014134
SCIN,5.060047383669939,1.081331622770649,3.9787157608992905
ARSD,0.4329594072761063,2.555504323751651,-2.1225449164755443
PNPLA4,4.918386234446348,2.9252717298618705,1.9931145045844771
MYH13,0.01435529297707,0.027996218795531057,-0.013640925818461058
ADIPOR2,5.261530815243406,5.259814261399743,0.0017165538436625383
CDKL3,1.3276873641760472,1.405950116578491,-0.07826275240244374
UPP2,0.0426443374084937,0.020540540431888566,0.022103796976605136
PRSS21,6.152589069287126,1.1956450142699555,4.95694405501717
MARK4,4.377123749129487,3.573945124038298,0.8031786250911894
PROM1,0.1110313123887439,1.0731303160698147,-0.9620990036810708
CCDC124,6.660922913964558,6.642180032521217,0.01874288144334102
CEACAM21,0.8399595874895318,0.4882195112425437,0.3517400762469881
PAFAH1B1,4.7414669864011465,5.654609019542004,-0.9131420331408577
NOS2,0.0285691521967709,0.21698228775691622,-0.18841313556014533
DNAH9,0.0,0.2586845861653492,-0.2586845861653492
KIAA0100,5.6806056662025926,5.620587350189924,0.060018316012668826
SLC13A2,0.0,0.060368165061836676,-0.060368165061836676
GAS7,0.1890338243900171,1.2315857887201236,-1.0425519643301064
TRAPPC6A,6.635464198167884,4.729331666879935,1.9061325312879491
MATK,4.873813198359088,0.950776180558497,3.9230370178005916
CEACAM7,0.0,0.18521380441262317,-0.18521380441262317
CD79B,0.411426245726465,1.0220439012309872,-0.6106176555045222
SCN4A,2.1076878693143737,0.255559485262229,1.8521283840521447
ST7L,4.429615964201735,3.8109474712664713,0.6186684929352642
TKTL1,1.298658315564515,0.22494842928099099,1.0737098862835242
PAX6,4.131754090984813,1.5678834285941163,2.563870662390697
RPUSD1,3.560714954474479,4.312559783441338,-0.7518448289668589
RHBDF1,2.91456452349394,3.7216969661158767,-0.8071324426219366
LUC7L,5.6108771994719495,5.114170602750378,0.49670659672157136
CACNA2D2,0.4329594072761063,0.763328097604792,-0.3303686903286857
BAIAP3,3.140778655782796,1.2637540095944464,1.8770246461883497
TSR3,4.809414444235898,5.196748968353134,-0.3873345241172359
PIGQ,4.421559944901823,4.444526511414252,-0.022966566512429232
CRAMP1,3.1060132376221192,3.1271779864031797,-0.02116474878106045
TEAD3,3.177917792195843,3.1185526756415403,0.059365116554302766
SELE,0.0,0.02598041978811576,-0.02598041978811576
DNAJC11,5.535430914871279,5.147568999053775,0.3878619158175036
FMO3,0.01435529297707,0.20288111527976516,-0.18852582230269516
MYLIP,4.685940148445977,3.2039302839040555,1.4820098645419213
NOX1,0.0285691521967709,0.18702454542504146,-0.15845539322827057
E2F2,3.683696454306516,2.5267005687018727,1.1569958856046432
PSMB1,8.832795096895001,8.07412201123856,0.7586730856564419
SYN1,0.5260688116675876,0.6709621606454277,-0.14489334897784012
JARID2,4.069530325162305,3.196985200143931,0.8725451250183744
CDKL5,0.1763227726404629,1.0545909762517063,-0.8782682036112434
CAMK1G,0.0,0.23373628894908513,-0.23373628894908513
CDK11A,5.51853513898218,4.85638924408945,0.6621458948927303
NADK,6.298841573112033,5.48585943554447,0.8129821375675625
TFAP2B,0.0285691521967709,0.26234027543753663,-0.23377112324076574
TFAP2D,0.0,0.030811059312905203,-0.030811059312905203
DLEC1,0.2265085298086797,0.22122911526994565,0.00527941453873404
CYTH3,3.8379432418910273,3.881010983312407,-0.04306774142137959
ADAM22,0.5160151470036647,1.5353553268440268,-1.019340179840362
SYPL1,6.277612870756686,6.249048086177827,0.028564784578859026
