perturbation,n_real_cells,real_deg_count,gears_delta_var_ratio,gears_deg_count,cpa_delta_var_ratio,cpa_deg_count,geneformer_delta_var_ratio,geneformer_deg_count
COG2,343,1,0.4114955501219206,2,12.195736815055454,0,0.006738658969686799,1
COG4,129,1,0.7207553849284928,2,6.958080435806193,0,0.00793320094386855,1
COQ5,113,4,1.300102359850137,5,1.2888166776232655,0,0.0017448579599154738,1
CPSF4,59,120,0.32504114486068575,44,0.07621180669458719,0,0.00013808560632196887,1
CPSF6,50,49,0.08722313617140451,12,0.12099702085387977,0,0.0013883056822531906,1
CTU2,114,1,0.2882047086552163,0,0.09131933938192077,0,0.0007006897806665691,1
CYC1,98,2,0.2353104266301055,4,3.094236363690469,0,0.1633731781855453,1
CYFIP1,111,4,1.1703834206065091,17,1.0046826803025,0,0.0016511584204083132,1
DDX19A,103,3,1.4389070636630898,1,4.1054644230082635,0,0.07902264832597207,1
DDX24,286,20,2.067364906270809,51,0.2473883567900056,0,0.008747043748575383,1
DDX41,292,58,1.1725998581772124,26,0.11267085927035568,0,0.0013361275586522322,1
DHODH,223,2,0.028838374750995658,2,0.9196036417826567,0,0.0004965944277118664,1
DPH3,60,13,1.526280557661637,9,6.1943081803654785,0,0.10296290430113254,1
DPM2,153,2,0.6768957757958265,2,5.43167250266042,0,0.07761920419794269,1
DYNC1H1,291,1,0.9776298844815483,6,0.6409845117421632,0,0.06076810680556669,1
EIF2S3,57,104,0.3367179238618053,61,0.04717170725092745,0,0.006232740032577059,1
EIF3B,34,40,0.49913894180196283,37,0.056912030001467384,0,0.014406320031913234,1
EIF4G1,372,9,1.6056991210872398,47,0.2030297005400503,0,0.03510723558357933,1
ELAC2,85,5,1.753954620316367,2,1.2174351468482458,0,0.0036887658878552955,1
EXOSC1,77,4,0.8530680617681319,0,2.80539912303869,0,0.012874886866504748,1
FBL,132,35,0.46141899077837134,55,0.08944395004989236,0,0.008640728011852752,1
FIP1L1,21,113,0.0056858234352128315,3,0.043133076709739454,0,0.0007956550767978343,1
GAK,167,1,3.139822128005997,0,28.409465612414643,0,0.05435253378142674,1
GATA1,108,190,0.21177007977760037,105,0.004169455911591797,0,0.00020898707208743208,1
GMPPB,164,1,5.035246116345348,2,2.7366580583396427,0,0.003159046652401008,1
GPS1,431,7,0.023109198473794102,2,0.3256469106978691,0,0.0017510538611499008,1
GTF2F2,59,53,0.1115672334050675,4,0.05303512863759452,0,0.0019914092100773912,1
GTF2H3,76,30,0.025709982918531136,2,0.16433798183278467,0,0.0012073570949101566,1
GUK1,118,2,11.264256937842427,23,5.574979950575183,0,0.734087860215042,1
HDAC3,60,13,0.10046405894442752,1,0.24681557739188448,0,0.002194221709059017,1
HMGCS1,230,1,0.6150372339209214,0,0.5205094119577347,0,0.007568480788307091,1
HNRNPR,149,3,6.737868098009561,23,1.0815516080682428,0,0.7998636831013138,1
HSPD1,145,3,0.9120040281803923,38,0.054266686345646825,0,1.5576931036835422,1
HSPE1,29,66,1.2324903179659268,75,0.08838018384280072,0,0.2860454999953652,1
HTATSF1,96,7,0.343407895769463,2,1.9645093097500708,0,0.019308536594245976,1
IARS2,216,22,0.12906451470640415,0,0.12042100798894989,0,0.005109556717797651,1
IFITM2,150,1,5.952752752404413,27,2.2758825279870964,0,0.015403889209917976,1
ILF3,138,6,0.037663968351281094,1,0.2696314974156259,0,0.14667833899987004,1
INCENP,59,68,0.8320585526272731,142,0.006168074601598757,0,3.4086185100291735e-05,1
KDM2A,117,4,0.1300512570570794,2,0.8654162226208675,0,0.00396048121575122,1
KIF4A,129,2,3.0410943936602033,1,1.5865104968613108,0,0.013234191664456121,1
KIN,160,6,0.24697966347884442,8,0.3297224357737996,0,0.0013862238479739701,1
LSM10,135,3,1.2272222659957575,6,2.9450762620491053,0,0.09153196720583621,1
LSM5,202,3,0.10250153641978116,0,0.8721820342632255,0,0.153038656546839,1
MCM10,219,11,0.010178593792229648,2,0.24786438854219708,0,0.0022103509189470524,1
MCM7,160,1,3.5587200703689454,10,0.7091794730424974,0,0.11879705504831975,1
MED1,254,160,0.11779991225913632,44,0.05420587119076675,0,0.00021497898891674897,1
MED17,151,174,0.17266949514079818,70,0.0172201683353128,0,3.2325097368559606e-05,1
MED21,63,166,0.14690194807251478,71,0.003988917734915692,0,2.9579747633887615e-05,1
MED4,66,168,0.1509533744499162,63,0.008115598172887203,0,0.00048386856917359615,1
MEPCE,127,2,4.783158282404907,8,3.1435713144747144,0,0.008510735791720002,1
METAP1,102,7,0.042106500386211,0,0.9229057018878211,0,0.0023392686801492033,1
METAP2,161,10,0.037342693173991255,1,0.44345133423327754,0,0.04506011351912039,1
MMS22L,57,30,2.9754910913975765,138,0.04039499495869194,0,0.00023371135723520436,1
MOCS3,118,4,1.9030504321438928,3,2.3732972569158495,0,0.0019128052331603648,1
MRGBP,74,5,0.058534729411764,1,1.6502850766761852,0,0.005121918069937943,1
MRPL21,14,51,0.09960907190457041,3,0.06445861893232739,0,0.02695349758368719,1
MRPL24,193,7,0.2702350822628568,4,0.2980749508282619,0,0.001786923518077381,1
MRPL38,155,4,0.06878225691173145,0,0.28271297057202177,0,0.016485955700623705,1
MRPL4,125,5,1.3493260564915817,11,0.30060714157174895,0,0.07682729416602783,1
MRPL9,121,3,3.1271963777883953,3,0.8054528905134302,0,0.02864181033564664,1
MRPS11,95,9,2.077524714215312,32,0.3311873824597239,0,0.004609843539941687,1
MRPS22,165,1,0.36841984869300154,5,1.3729641313425738,0,0.028153242267980653,1
MRPS28,158,3,0.6079974808286116,8,0.5642961065580359,0,0.006003066968442976,1
MRPS31,107,8,2.0137962076949796,21,0.5631189728373989,0,0.01042978200790905,1
